연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1973,10.0,5.4,5.1,9.5,9.0,9.3,8.5,8.9,10.6,9.5,8.2,7.2,101.2,31
1974,3.0,8.4,8.5,9.6,9.6,7.6,20.4,8.0,5.1,7.2,4.9,7.7,99.9,34
1975,7.1,6.8,7.5,9.7,10.2,11.2,14.1,8.2,11.4,8.2,7.9,5.0,107.2,16
1976,5.5,11.2,6.4,8.4,8.4,11.2,12.4,17.6,7.1,8.3,8.3,8.3,113.2,9
1977,3.7,1.8,10.2,11.0,7.7,7.5,11.1,8.4,8.1,3.5,11.5,7.0,91.4,44
1978,9.2,7.3,6.1,7.0,3.3,15.3,12.9,13.6,8.5,5.1,7.4,5.8,101.6,28
1979,7.6,8.4,6.2,8.4,8.8,16.8,12.6,10.6,10.3,3.2,6.2,5.8,104.8,22
1980,10.6,5.3,7.5,9.5,9.0,10.2,17.8,17.8,5.6,8.9,5.2,10.2,117.6,4
1981,6.4,6.9,5.8,8.5,7.7,11.8,15.4,12.8,6.1,7.8,5.5,4.7,99.3,37
1982,5.4,5.2,8.0,6.1,8.5,6.0,11.8,13.4,3.8,4.4,11.2,8.8,92.8,42
1983,6.2,9.2,9.4,12.9,6.6,6.8,14.6,12.2,12.8,7.1,7.8,5.5,111.0,13
1984,4.4,5.0,8.7,10.1,5.3,11.2,12.8,12.7,10.0,4.3,6.2,8.9,99.6,35
1985,6.1,9.9,8.2,8.1,7.9,10.0,12.5,12.4,14.8,9.3,13.2,8.4,120.8,2
1986,5.7,5.3,6.6,7.0,7.7,10.8,15.9,12.3,7.9,8.6,4.5,8.8,101.2,30
1987,6.4,8.1,9.5,7.5,9.3,7.6,16.7,17.6,5.1,5.5,8.8,2.6,104.7,24
1988,6.9,4.4,8.4,7.0,7.7,8.4,15.1,9.5,6.5,3.3,5.4,6.0,88.7,47
1989,12.3,9.0,8.3,4.6,6.6,9.9,14.0,9.6,12.1,5.1,9.6,6.0,107.0,17
1990,9.9,11.4,9.4,9.0,12.1,13.8,14.5,9.0,11.0,4.0,5.7,7.0,116.8,5
1991,7.0,10.4,10.6,6.0,8.1,9.2,18.8,11.0,8.0,2.7,5.1,9.3,106.1,19
1992,6.7,6.9,9.8,10.6,9.0,6.6,10.3,13.5,10.7,7.1,5.7,10.0,106.9,18
1993,6.9,6.3,6.8,6.5,9.2,10.7,15.3,17.2,5.6,4.5,10.4,6.4,105.8,20
1994,5.9,4.4,6.5,5.5,9.0,7.3,6.3,10.2,4.8,8.1,5.3,6.0,79.2,48
1995,6.2,3.9,8.8,6.8,7.4,7.2,13.6,14.2,8.0,4.2,5.8,4.3,90.5,46
1996,5.7,3.9,9.9,4.8,7.1,14.0,11.7,9.6,4.0,5.9,11.6,5.4,93.6,41
1997,5.1,4.2,5.5,7.7,12.7,9.1,11.2,11.2,6.4,3.7,9.2,6.3,92.4,43
1998,10.0,8.8,4.8,11.7,8.5,13.6,17.0,17.2,8.0,5.6,6.8,2.7,114.7,7
1999,4.6,5.1,8.5,8.2,8.2,8.3,14.2,15.0,12.3,7.8,6.2,4.6,103.2,26
2000,10.4,3.6,5.4,6.6,8.6,11.6,11.0,14.4,11.4,5.6,6.5,5.4,100.6,33
2001,9.5,6.9,6.3,4.6,6.4,11.2,12.8,9.6,5.6,7.9,3.8,6.6,91.3,45
2002,9.6,2.5,6.9,7.0,10.5,6.8,13.0,17.9,7.0,8.7,5.2,9.4,104.7,23
2003,7.2,7.0,9.0,11.2,8.4,9.3,20.4,16.8,11.0,4.5,10.7,4.6,120.2,3
2004,5.8,6.9,5.8,7.1,13.7,9.6,13.5,11.5,12.9,2.5,6.8,4.7,100.9,32
2005,5.4,6.6,8.2,7.0,6.7,9.1,13.8,16.1,11.5,5.9,4.9,7.0,102.2,27
2006,4.2,8.0,5.8,10.4,9.5,10.0,21.5,10.2,7.0,3.4,7.8,5.9,103.6,25
2007,4.4,4.8,10.7,6.7,8.8,10.4,14.2,17.0,17.0,7.1,3.7,8.7,113.6,8
2008,6.7,3.0,8.6,8.8,8.3,11.9,14.5,12.5,8.9,4.9,6.8,6.4,101.2,29
2009,5.5,6.1,8.7,6.2,9.5,10.4,18.9,10.9,7.4,6.0,7.6,8.4,105.5,21
2010,6.8,9.9,13.8,10.9,9.1,9.3,16.1,18.6,12.6,6.4,4.8,7.9,126.2,1
2011,4.0,5.4,3.7,10.4,10.7,11.4,19.4,17.7,7.8,5.9,10.4,6.3,113.0,10
2012,6.9,5.2,10.8,9.6,7.3,8.0,13.9,16.4,11.3,4.3,11.0,11.2,116.0,6
2013,6.1,8.1,7.4,10.3,7.8,10.2,16.3,10.6,10.1,5.6,10.8,7.1,110.4,14
2014,4.4,6.5,9.1,7.7,7.6,10.4,15.3,18.2,7.1,6.5,8.3,10.7,111.9,12
2015,9.4,6.0,5.1,14.2,6.6,9.7,14.2,10.0,7.0,5.8,15.1,10.0,112.8,11
2016,5.6,7.3,5.3,11.1,8.7,9.4,13.8,8.2,12.5,10.7,8.6,8.2,109.4,15
2017,6.9,6.3,7.8,8.3,5.7,8.2,17.5,15.2,5.5,6.7,4.8,6.6,99.5,36
2018,6.4,3.6,9.9,9.0,11.1,7.9,7.6,11.6,11.0,7.5,5.5,6.4,97.6,38
2019,2.8,4.0,7.9,9.2,5.4,9.2,13.1,11.1,12.4,6.5,6.9,7.4,95.8,40
2020,7.2,9.1,5.2,5.1,9.6,11.4,18.8,15.6,12.0,2.6,0.0,0.0,96.6,39
